# wmi   manufacturer
ZCG	CAGIVA SPA / MV AGUSTA
ZD0	YAMAHA ITALY
ZD3	BETA MOTOR
ZD4	APRILIA
ZDC	HONDA
ZDF	FERRARI DINO
ZDM	DUCATI MOTOR HOLDINGS SPA
ZFA	FIAT
ZFC	FIAT V.I.
ZFF	FERRARI
ZGA	IVECOBUS
ZGU	MOTO GUZZI
ZHW	LAMBORGHINI
ZJM	MALAGUTI
ZJN	INNOCENTI
ZKH	HUSQVARNA MOTORCYCLES ITALY
ZLA	LANCIA
ZOM	OM
ZPB	LAMBORGHINI
ZPB	LAMBORGHINILFV	FAW-VOLKSWAGEN
